base_name,GT_to_Completed_Percentage,Completed_to_GT_Percentage
ground_576_gt.ply,83.88671875,41.88232421875
ground_562_gt.ply,84.814453125,45.00732421875
ground_701_gt.ply,83.154296875,94.61669921875
ground_1041_gt.ply,82.12890625,96.0693359375
ground_451_gt.ply,67.7734375,17.7490234375
ground_879_gt.ply,29.98046875,84.033203125
ground_948_gt.ply,70.99609375,93.51806640625
ground_914_gt.ply,47.607421875,60.33935546875
ground_14_gt.ply,84.521484375,38.7939453125
ground_762_gt.ply,92.7734375,96.8994140625
ground_284_gt.ply,77.05078125,54.6875
ground_994_gt.ply,81.884765625,90.88134765625
ground_728_gt.ply,98.291015625,97.75390625
ground_1300_gt.ply,79.248046875,32.5439453125
ground_109_gt.ply,79.248046875,56.16455078125
ground_63_gt.ply,86.62109375,53.0517578125
ground_940_gt.ply,63.232421875,87.02392578125
ground_1417_gt.ply,77.978515625,42.05322265625
ground_1329_gt.ply,80.2734375,37.51220703125
ground_944_gt.ply,74.951171875,82.09228515625
ground_258_gt.ply,79.1015625,45.80078125
ground_250_gt.ply,80.56640625,42.00439453125
ground_1213_gt.ply,87.79296875,96.05712890625
ground_1348_gt.ply,70.41015625,34.75341796875
ground_676_gt.ply,77.05078125,79.57763671875
ground_195_gt.ply,69.873046875,44.20166015625
ground_754_gt.ply,93.701171875,94.03076171875
ground_696_gt.ply,67.67578125,16.61376953125
ground_529_gt.ply,78.7109375,35.791015625
ground_61_gt.ply,76.66015625,50.0
ground_1378_gt.ply,78.369140625,23.59619140625
ground_639_gt.ply,82.080078125,62.939453125
ground_388_gt.ply,77.24609375,55.56640625
ground_544_gt.ply,80.517578125,40.2099609375
ground_164_gt.ply,79.8828125,44.1650390625
ground_240_gt.ply,78.857421875,34.47265625
ground_1441_gt.ply,74.31640625,25.76904296875
ground_169_gt.ply,86.1328125,39.58740234375
ground_408_gt.ply,67.48046875,38.48876953125
ground_283_gt.ply,75.830078125,33.49609375
ground_160_gt.ply,85.3515625,57.62939453125
ground_972_gt.ply,87.548828125,61.0107421875
ground_1003_gt.ply,80.712890625,64.00146484375
ground_461_gt.ply,86.81640625,36.07177734375
ground_1443_gt.ply,77.34375,32.23876953125
ground_1082_gt.ply,90.8203125,90.2099609375
ground_881_gt.ply,62.40234375,69.580078125
ground_1400_gt.ply,73.828125,33.16650390625
ground_355_gt.ply,80.46875,37.87841796875
ground_1363_gt.ply,81.787109375,53.23486328125
ground_466_gt.ply,86.23046875,42.54150390625
ground_1201_gt.ply,75.146484375,96.4599609375
ground_1380_gt.ply,76.5625,46.22802734375
ground_295_gt.ply,76.3671875,34.53369140625
ground_711_gt.ply,96.484375,97.96142578125
ground_162_gt.ply,68.9453125,51.52587890625
