base_name,GT_to_Completed_Percentage,Completed_to_GT_Percentage
ground_576_gt.ply,87.939453125,33.888067061143985
ground_562_gt.ply,87.060546875,29.191321499013807
ground_701_gt.ply,78.02734375,25.443786982248522
ground_451_gt.ply,92.041015625,33.00049309664694
ground_14_gt.ply,87.98828125,32.91420118343195
ground_762_gt.ply,87.060546875,34.81262327416174
ground_284_gt.ply,87.353515625,30.251479289940832
ground_728_gt.ply,85.595703125,31.841715976331358
ground_109_gt.ply,86.279296875,34.0853057199211
ground_63_gt.ply,89.990234375,35.798816568047336
ground_258_gt.ply,86.572265625,34.24556213017752
ground_250_gt.ply,90.234375,32.63067061143985
ground_676_gt.ply,88.037109375,33.14842209072978
ground_195_gt.ply,82.763671875,27.477810650887573
ground_754_gt.ply,90.234375,32.05128205128205
ground_696_gt.ply,89.404296875,36.217948717948715
ground_529_gt.ply,86.1328125,32.88954635108482
ground_61_gt.ply,89.35546875,34.146942800788956
ground_639_gt.ply,84.86328125,30.3870808678501
ground_388_gt.ply,89.697265625,37.54930966469428
ground_544_gt.ply,84.033203125,30.17751479289941
ground_164_gt.ply,86.23046875,32.001972386587774
ground_240_gt.ply,84.228515625,31.595167652859963
ground_169_gt.ply,90.380859375,32.260848126232744
ground_408_gt.ply,86.962890625,34.68934911242604
ground_283_gt.ply,87.20703125,32.790927021696255
ground_160_gt.ply,93.994140625,34.0853057199211
ground_461_gt.ply,90.478515625,32.92652859960552
ground_355_gt.ply,89.599609375,30.16518737672584
ground_466_gt.ply,91.40625,34.146942800788956
ground_295_gt.ply,85.9375,31.64447731755424
ground_711_gt.ply,85.3515625,34.27021696252465
ground_162_gt.ply,86.767578125,31.68145956607495
ground_452_gt.ply,89.697265625,30.17751479289941
ground_507_gt.ply,84.814453125,31.8663708086785
ground_133_gt.ply,90.380859375,32.2361932938856
ground_763_gt.ply,84.9609375,34.76331360946745
ground_293_gt.ply,89.892578125,32.86489151873767
ground_612_gt.ply,86.42578125,33.616863905325445
ground_579_gt.ply,86.767578125,34.73865877712032
ground_260_gt.ply,89.35546875,36.56311637080868
ground_125_gt.ply,90.33203125,31.94033530571992
ground_598_gt.ply,85.83984375,30.485700197238657
ground_641_gt.ply,86.181640625,29.142011834319526
ground_530_gt.ply,88.427734375,35.009861932938854
ground_593_gt.ply,88.330078125,32.273175542406314
ground_155_gt.ply,86.669921875,34.035996055226825
ground_158_gt.ply,86.572265625,29.94329388560158
ground_624_gt.ply,90.087890625,34.467455621301774
ground_746_gt.ply,79.58984375,26.738165680473376
ground_228_gt.ply,89.84375,33.53057199211045
ground_366_gt.ply,91.40625,38.46153846153847
ground_477_gt.ply,91.2109375,32.55670611439842
ground_69_gt.ply,86.328125,31.176035502958584
ground_669_gt.ply,87.939453125,33.210059171597635
ground_509_gt.ply,85.009765625,31.21301775147929
ground_320_gt.ply,89.0625,31.05276134122288
ground_502_gt.ply,83.056640625,28.217455621301774
ground_367_gt.ply,85.791015625,28.587278106508872
ground_601_gt.ply,84.66796875,30.756903353057197
ground_715_gt.ply,86.181640625,31.50887573964497
ground_629_gt.ply,81.982421875,31.4965483234714
ground_316_gt.ply,86.865234375,31.44723865877712
ground_178_gt.ply,88.916015625,30.73224852071006
ground_420_gt.ply,90.966796875,32.66765285996055
ground_36_gt.ply,90.0390625,32.90187376725838
ground_415_gt.ply,85.205078125,28.784516765285993
ground_34_gt.ply,91.2109375,35.74950690335306
ground_40_gt.ply,88.4765625,30.37475345167653
ground_151_gt.ply,89.697265625,31.44723865877712
