base_name,Fscore_GT_to_Completed,Fscore_Completed_to_GT
ground_576_gt.ply,100.0,100.0
ground_562_gt.ply,100.0,100.0
ground_701_gt.ply,100.0,100.0
ground_1041_gt.ply,100.0,100.0
ground_451_gt.ply,100.0,100.0
ground_879_gt.ply,100.0,100.0
ground_948_gt.ply,100.0,100.0
ground_914_gt.ply,100.0,100.0
ground_14_gt.ply,100.0,100.0
ground_762_gt.ply,100.0,100.0
ground_284_gt.ply,100.0,100.0
ground_994_gt.ply,100.0,100.0
ground_728_gt.ply,100.0,100.0
ground_1300_gt.ply,100.0,100.0
ground_109_gt.ply,100.0,100.0
ground_63_gt.ply,100.0,100.0
ground_940_gt.ply,100.0,100.0
ground_1417_gt.ply,100.0,100.0
ground_1329_gt.ply,100.0,100.0
ground_944_gt.ply,100.0,100.0
ground_258_gt.ply,100.0,100.0
ground_250_gt.ply,100.0,100.0
ground_1213_gt.ply,100.0,100.0
ground_1348_gt.ply,100.0,100.0
ground_676_gt.ply,100.0,100.0
ground_195_gt.ply,100.0,100.0
ground_754_gt.ply,100.0,100.0
ground_696_gt.ply,100.0,100.0
ground_529_gt.ply,100.0,100.0
ground_61_gt.ply,100.0,100.0
ground_1378_gt.ply,100.0,100.0
ground_639_gt.ply,100.0,100.0
ground_388_gt.ply,100.0,100.0
ground_544_gt.ply,100.0,100.0
ground_164_gt.ply,100.0,100.0
ground_240_gt.ply,100.0,100.0
ground_1441_gt.ply,100.0,100.0
ground_169_gt.ply,100.0,100.0
ground_408_gt.ply,100.0,100.0
ground_283_gt.ply,100.0,100.0
ground_160_gt.ply,100.0,100.0
ground_972_gt.ply,100.0,100.0
ground_1003_gt.ply,100.0,100.0
ground_461_gt.ply,100.0,100.0
ground_1443_gt.ply,100.0,100.0
ground_1082_gt.ply,100.0,100.0
ground_881_gt.ply,100.0,100.0
ground_1400_gt.ply,100.0,100.0
ground_355_gt.ply,100.0,100.0
ground_1363_gt.ply,100.0,100.0
ground_466_gt.ply,100.0,100.0
ground_1201_gt.ply,100.0,100.0
ground_1380_gt.ply,100.0,100.0
ground_295_gt.ply,100.0,100.0
ground_711_gt.ply,100.0,100.0
ground_162_gt.ply,100.0,100.0
ground_937_gt.ply,100.0,100.0
ground_1200_gt.ply,100.0,100.0
ground_967_gt.ply,100.0,100.0
ground_956_gt.ply,100.0,100.0
ground_452_gt.ply,100.0,100.0
ground_1142_gt.ply,100.0,100.0
ground_507_gt.ply,100.0,100.0
ground_133_gt.ply,100.0,100.0
ground_1328_gt.ply,100.0,100.0
ground_763_gt.ply,100.0,100.0
ground_1346_gt.ply,100.0,100.0
ground_293_gt.ply,100.0,100.0
ground_1171_gt.ply,100.0,100.0
ground_612_gt.ply,100.0,100.0
ground_579_gt.ply,100.0,100.0
ground_260_gt.ply,100.0,100.0
ground_125_gt.ply,100.0,100.0
ground_1364_gt.ply,100.0,100.0
ground_598_gt.ply,100.0,100.0
ground_1098_gt.ply,100.0,100.0
ground_641_gt.ply,100.0,100.0
ground_1270_gt.ply,100.0,100.0
ground_911_gt.ply,100.0,100.0
ground_823_gt.ply,100.0,100.0
ground_530_gt.ply,100.0,100.0
ground_906_gt.ply,100.0,100.0
ground_1112_gt.ply,100.0,100.0
ground_593_gt.ply,100.0,100.0
ground_155_gt.ply,100.0,100.0
ground_1077_gt.ply,100.0,100.0
ground_1145_gt.ply,100.0,100.0
ground_158_gt.ply,100.0,100.0
ground_624_gt.ply,100.0,100.0
ground_746_gt.ply,100.0,100.0
ground_228_gt.ply,100.0,100.0
ground_1223_gt.ply,100.0,100.0
ground_366_gt.ply,100.0,100.0
ground_1251_gt.ply,100.0,100.0
ground_477_gt.ply,100.0,100.0
ground_900_gt.ply,100.0,100.0
ground_980_gt.ply,100.0,100.0
ground_69_gt.ply,100.0,100.0
ground_1291_gt.ply,100.0,100.0
ground_1034_gt.ply,100.0,100.0
ground_856_gt.ply,100.0,100.0
ground_669_gt.ply,100.0,100.0
ground_509_gt.ply,100.0,100.0
ground_1065_gt.ply,100.0,100.0
ground_320_gt.ply,100.0,100.0
ground_502_gt.ply,100.0,100.0
ground_367_gt.ply,100.0,100.0
ground_601_gt.ply,100.0,100.0
ground_715_gt.ply,100.0,100.0
ground_629_gt.ply,100.0,100.0
ground_1011_gt.ply,100.0,100.0
ground_1357_gt.ply,100.0,100.0
ground_316_gt.ply,100.0,100.0
ground_178_gt.ply,100.0,100.0
ground_873_gt.ply,100.0,100.0
ground_970_gt.ply,100.0,100.0
ground_1215_gt.ply,100.0,100.0
ground_420_gt.ply,100.0,100.0
ground_36_gt.ply,100.0,100.0
ground_415_gt.ply,100.0,100.0
ground_34_gt.ply,100.0,100.0
ground_1021_gt.ply,100.0,100.0
ground_40_gt.ply,100.0,100.0
ground_151_gt.ply,100.0,100.0
ground_1280_gt.ply,100.0,100.0
ground_1116_gt.ply,100.0,100.0
ground_626_gt.ply,100.0,100.0
ground_681_gt.ply,100.0,100.0
ground_1168_gt.ply,100.0,100.0
ground_640_gt.ply,100.0,100.0
ground_1086_gt.ply,100.0,100.0
ground_1091_gt.ply,100.0,100.0
ground_95_gt.ply,100.0,100.0
ground_839_gt.ply,100.0,100.0
ground_1063_gt.ply,100.0,100.0
ground_854_gt.ply,100.0,100.0
ground_971_gt.ply,100.0,100.0
ground_1359_gt.ply,100.0,100.0
ground_1332_gt.ply,100.0,100.0
ground_782_gt.ply,100.0,100.0
ground_1027_gt.ply,100.0,100.0
ground_775_gt.ply,100.0,100.0
ground_1052_gt.ply,100.0,100.0
ground_266_gt.ply,100.0,100.0
ground_723_gt.ply,100.0,100.0
ground_321_gt.ply,100.0,100.0
ground_1163_gt.ply,100.0,100.0
ground_1046_gt.ply,100.0,100.0
ground_634_gt.ply,100.0,100.0
ground_1114_gt.ply,100.0,100.0
ground_571_gt.ply,100.0,100.0
ground_16_gt.ply,100.0,100.0
ground_145_gt.ply,100.0,100.0
ground_596_gt.ply,100.0,100.0
ground_1286_gt.ply,100.0,100.0
ground_23_gt.ply,100.0,100.0
ground_484_gt.ply,100.0,100.0
ground_833_gt.ply,100.0,100.0
ground_1420_gt.ply,100.0,100.0
ground_798_gt.ply,100.0,100.0
ground_656_gt.ply,100.0,100.0
ground_992_gt.ply,100.0,100.0
ground_373_gt.ply,100.0,100.0
ground_1150_gt.ply,100.0,100.0
ground_486_gt.ply,100.0,100.0
ground_436_gt.ply,100.0,100.0
ground_433_gt.ply,100.0,100.0
ground_1001_gt.ply,100.0,100.0
ground_1246_gt.ply,100.0,100.0
ground_1322_gt.ply,100.0,100.0
ground_435_gt.ply,100.0,100.0
ground_936_gt.ply,100.0,100.0
ground_196_gt.ply,100.0,100.0
ground_334_gt.ply,100.0,100.0
ground_1366_gt.ply,100.0,100.0
ground_608_gt.ply,100.0,100.0
ground_518_gt.ply,100.0,100.0
ground_950_gt.ply,100.0,100.0
ground_143_gt.ply,100.0,100.0
ground_1174_gt.ply,100.0,100.0
ground_697_gt.ply,100.0,100.0
ground_209_gt.ply,100.0,100.0
ground_712_gt.ply,100.0,100.0
ground_185_gt.ply,100.0,100.0
ground_126_gt.ply,100.0,100.0
ground_140_gt.ply,100.0,100.0
ground_607_gt.ply,100.0,100.0
ground_10_gt.ply,100.0,100.0
ground_237_gt.ply,100.0,100.0
ground_594_gt.ply,100.0,100.0
ground_784_gt.ply,100.0,100.0
ground_1205_gt.ply,100.0,100.0
ground_638_gt.ply,100.0,100.0
ground_1340_gt.ply,100.0,100.0
ground_1297_gt.ply,100.0,100.0
ground_179_gt.ply,100.0,100.0
ground_915_gt.ply,100.0,100.0
ground_806_gt.ply,100.0,100.0
ground_1032_gt.ply,100.0,100.0
ground_953_gt.ply,100.0,100.0
ground_370_gt.ply,100.0,100.0
ground_986_gt.ply,100.0,100.0
ground_652_gt.ply,100.0,100.0
ground_1294_gt.ply,100.0,100.0
ground_1157_gt.ply,100.0,100.0
ground_630_gt.ply,100.0,100.0
ground_398_gt.ply,100.0,100.0
ground_1292_gt.ply,100.0,100.0
ground_942_gt.ply,100.0,100.0
ground_1184_gt.ply,100.0,100.0
ground_220_gt.ply,100.0,100.0
ground_1427_gt.ply,100.0,100.0
ground_599_gt.ply,100.0,100.0
ground_1324_gt.ply,100.0,100.0
ground_1094_gt.ply,100.0,100.0
ground_1134_gt.ply,100.0,100.0
ground_1122_gt.ply,100.0,100.0
ground_1283_gt.ply,100.0,100.0
ground_1405_gt.ply,100.0,100.0
ground_505_gt.ply,100.0,100.0
ground_708_gt.ply,100.0,100.0
ground_1181_gt.ply,100.0,100.0
ground_422_gt.ply,100.0,100.0
ground_443_gt.ply,100.0,100.0
ground_1393_gt.ply,100.0,100.0
ground_930_gt.ply,100.0,100.0
ground_1100_gt.ply,100.0,100.0
ground_1415_gt.ply,100.0,100.0
ground_1093_gt.ply,100.0,100.0
ground_975_gt.ply,100.0,100.0
