base_name,percentage_within_threshold
ground_ground_263_gt.ply,0.0
ground_ground_302_gt.ply,0.0
ground_ground_260_gt.ply,0.0
ground_ground_561_gt.ply,0.0
ground_ground_244_gt.ply,0.0
ground_ground_647_gt.ply,0.0
ground_ground_579_gt.ply,0.0
ground_ground_423_gt.ply,0.0
ground_ground_573_gt.ply,0.0
ground_ground_504_gt.ply,0.0
ground_ground_782_gt.ply,0.0
ground_ground_534_gt.ply,0.0
ground_ground_426_gt.ply,0.0
ground_ground_384_gt.ply,0.0
ground_ground_439_gt.ply,0.0
ground_ground_651_gt.ply,0.0
ground_ground_265_gt.ply,0.0
ground_ground_465_gt.ply,0.0
ground_ground_806_gt.ply,0.0
ground_ground_176_gt.ply,0.0
ground_ground_35_gt.ply,0.0
ground_ground_794_gt.ply,0.0
ground_ground_355_gt.ply,0.0
ground_ground_40_gt.ply,0.0
ground_ground_386_gt.ply,0.0
ground_ground_584_gt.ply,0.0
ground_ground_546_gt.ply,0.0
ground_ground_307_gt.ply,0.0
ground_ground_538_gt.ply,0.0
ground_ground_680_gt.ply,0.0
ground_ground_485_gt.ply,0.0
ground_ground_217_gt.ply,0.0
ground_ground_58_gt.ply,0.0
ground_ground_98_gt.ply,0.0
ground_ground_655_gt.ply,0.0
ground_ground_165_gt.ply,0.0
ground_ground_662_gt.ply,0.0
ground_ground_659_gt.ply,0.0
ground_ground_755_gt.ply,0.0
ground_ground_758_gt.ply,0.0
ground_ground_236_gt.ply,0.0
ground_ground_96_gt.ply,0.0
ground_ground_453_gt.ply,0.0
ground_ground_91_gt.ply,0.0
ground_ground_681_gt.ply,0.0
ground_ground_478_gt.ply,0.0
ground_ground_157_gt.ply,0.0
ground_ground_587_gt.ply,0.0
ground_ground_150_gt.ply,0.0
ground_ground_601_gt.ply,0.0
ground_ground_723_gt.ply,0.0
ground_ground_729_gt.ply,0.0
ground_ground_494_gt.ply,0.0
ground_ground_232_gt.ply,0.0
ground_ground_701_gt.ply,0.0
ground_ground_33_gt.ply,0.0
ground_ground_111_gt.ply,0.0
ground_ground_592_gt.ply,0.0
ground_ground_379_gt.ply,0.0
ground_ground_597_gt.ply,0.0
ground_ground_8_gt.ply,0.0
ground_ground_67_gt.ply,0.0
ground_ground_406_gt.ply,0.0
